Population	Exposed	Symptomatic	Asymptomatic	Death	Recovered	MinutesPassed
100000	2	0	0	0	0	0,02
100000	2	0	0	0	0	0,8199999
100000	2	0	0	0	0	4,82
100000	2	0	0	0	0	8,82
100000	2	0	0	0	0	10,99821
100000	2	0	0	0	0	13,75638
100000	2	0	0	0	0	16,28846
100000	2	0	0	0	0	18,08842
100000	2	0	0	0	0	20,37531
100000	2	0	0	0	0	22,8941
100000	2	0	0	0	0	24,73493
100000	2	0	0	0	0	26,59673
100000	2	0	0	0	0	28,60468
100000	2	0	0	0	0	30,58477
100000	2	0	0	0	0	32,79015
100000	2	0	0	0	0	35,20839
100000	2	0	0	0	0	38,14837
100000	2	0	0	0	0	40,95821
100000	2	0	0	0	0	44,18501
100000	2	0	0	0	0	47,35646
100000	2	0	0	0	0	51,35646
100000	2	0	0	0	0	55,35646
100000	2	0	0	0	0	59,35646
100000	2	0	0	0	0	63,35646
100000	2	0	0	0	0	67,35646
100000	2	0	0	0	0	71,35646
100000	2	0	0	0	0	75,35646
100000	2	0	0	0	0	79,35646
100000	2	0	0	0	0	83,35646
100000	2	0	0	0	0	87,35646
100000	2	0	0	0	0	91,35646
100000	2	0	0	0	0	95,35646
100000	2	0	0	0	0	99,35646
100000	2	0	0	0	0	103,3565
100000	2	0	0	0	0	107,3565
100000	2	0	0	0	0	111,3565
100000	2	0	0	0	0	115,3565
100000	2	0	0	0	0	119,3565
100000	2	0	0	0	0	123,3565
100000	2	0	0	0	0	127,2119
100000	2	0	0	0	0	130,9962
100000	2	0	0	0	0	134,3661
100000	2	0	0	0	0	138,3661
100000	2	0	0	0	0	141,0106
100000	2	0	0	0	0	144,3154
100000	2	0	0	0	0	147,8903
100000	2	0	0	0	0	150,4321
100000	2	0	0	0	0	152,9106
100000	2	0	0	0	0	155,4711
100000	2	0	0	0	0	159,4711
100000	2	0	0	0	0	162,205
100000	2	0	0	0	0	164,5571
100000	2	0	0	0	0	167,4867
100000	2	0	0	0	0	169,9635
100000	2	0	0	0	0	171,911
100000	2	0	0	0	0	174,9021
100000	2	0	0	0	0	176,9658
100000	2	0	0	0	0	179,4757
100000	2	0	0	0	0	181,7923
100000	2	0	0	0	0	183,8947
100000	2	0	0	0	0	186,2812
100000	2	0	0	0	0	188,2785
100000	2	0	0	0	0	190,2036
100000	2	0	0	0	0	192,4503
100000	2	0	0	0	0	194,5697
100000	2	0	0	0	0	196,4913
100000	2	0	0	0	0	198,6258
100000	2	0	0	0	0	201,3651
100000	2	0	0	0	0	204,4185
100000	2	0	0	0	0	206,4126
100000	2	0	0	0	0	208,8591
100000	2	0	0	0	0	211,4766
100000	2	0	0	0	0	213,6724
100000	2	0	0	0	0	216,2883
100000	2	0	0	0	0	218,7578
100000	2	0	0	0	0	221,0708
100000	2	0	0	0	0	223,7498
100000	2	0	0	0	0	225,9668
100000	2	0	0	0	0	228,4807
100000	2	0	0	0	0	231,7197
100000	2	0	0	0	0	234,4723
100000	2	0	0	0	0	237,4509
100000	2	0	0	0	0	240,1128
100000	2	0	0	0	0	243,0439
100000	2	0	0	0	0	246,0487
100000	2	0	0	0	0	249,2991
100000	2	0	0	0	0	252,1198
100000	2	0	0	0	0	255,1226
100000	2	0	0	0	0	257,7834
100000	2	0	0	0	0	260,3837
100000	2	0	0	0	0	262,9495
100000	2	0	0	0	0	265,5592
100000	2	0	0	0	0	268,0947
100000	2	0	0	0	0	270,1617
100000	2	0	0	0	0	272,8737
100000	2	0	0	0	0	275,6882
100000	2	0	0	0	0	277,9025
100000	2	0	0	0	0	280,2703
100000	2	0	0	0	0	284,0037
100000	2	0	0	0	0	286,3278
100000	2	0	0	0	0	289,5527
100000	2	0	0	0	0	293,5063
100000	2	0	0	0	0	296,4104
100000	2	0	0	0	0	299,8094
100000	2	0	0	0	0	303,8094
100000	2	0	0	0	0	307,8094
100000	2	0	0	0	0	311,8094
100000	2	0	0	0	0	315,8094
100000	2	0	0	0	0	319,8094
100000	2	0	0	0	0	323,8094
100000	2	0	0	0	0	327,8094
100000	2	0	0	0	0	331,8094
100000	2	0	0	0	0	335,8094
100000	2	0	0	0	0	339,8094
100000	2	0	0	0	0	343,8094
100000	2	0	0	0	0	347,8094
100000	2	0	0	0	0	351,8094
100000	2	0	0	0	0	355,8094
100000	2	0	0	0	0	359,8094
100000	2	0	0	0	0	363,8094
100000	2	0	0	0	0	367,8094
100000	2	0	0	0	0	371,8094
100000	2	0	0	0	0	375,8094
100000	2	0	0	0	0	379,8094
100000	2	0	0	0	0	383,8094
100000	2	0	0	0	0	387,8094
100000	2	0	0	0	0	391,8094
100000	2	0	0	0	0	395,8094
100000	2	0	0	0	0	399,8094
100000	2	0	0	0	0	403,8094
100000	2	0	0	0	0	407,8094
100000	2	0	0	0	0	411,8094
100000	2	0	0	0	0	415,8094
100000	2	0	0	0	0	419,8094
100000	2	0	0	0	0	423,8094
100000	2	0	0	0	0	427,8094
100000	2	0	0	0	0	431,3275
